pX,pY,pZ
-27.83383, -10.18225, 51.68874
-27.7816, -10.20005, 52.73606
-27.72628, -10.21491, 53.7723
-27.57611, -10.22683, 54.80873
-27.51258, -10.32794, 55.809
-27.51258, -10.32794, 55.809
-27.45959, -10.70142, 57.68295
-27.47928, -10.89033, 58.6246
-27.58817, -11.02709, 59.52401
-27.60395, -11.21314, 60.44283
-27.71258, -11.54324, 61.34314
-27.71258, -11.54324, 61.34314
-27.88557, -12.34573, 62.77697
-27.95844, -12.73214, 63.38096
-28.02246, -13.05972, 63.91159
-28.07611, -13.42381, 64.35626
-28.12139, -13.72891, 64.73151
-28.12139, -13.72891, 64.73151
-28.2011, -14.22868, 65.39222
-28.24328, -14.33467, 65.74181
-28.27949, -14.43278, 66.04195
-28.31926, -14.48637, 66.37156
-28.34378, -14.56891, 66.57478
-28.34378, -14.56891, 66.57478
-28.37755, -14.61448, 66.85472
-28.18782, -14.56996, 66.90891
-27.70407, -14.56996, 66.96637
-27.22378, -14.52543, 67.05376
-26.65339, -14.39175, 67.21291
-26.65339, -14.39175, 67.21291
-25.41537, -14.02731, 67.5522
-24.84298, -13.89325, 67.70643
-24.26997, -13.75908, 67.8591
-23.78736, -13.71433, 67.93917
-23.49891, -13.66957, 67.99899
-23.49891, -13.66957, 67.99899
-22.92166, -13.58001, 68.11752
-22.63579, -13.4904, 68.20683
-22.25817, -13.31103, 68.36596
-21.88005, -13.13146, 68.52419
-21.30378, -12.99666, 68.66874
-21.30378, -12.99666, 68.66874
-19.85162, -12.81674, 68.91716
-19.17104, -12.77173, 69.00366
-18.49485, -12.63662, 69.1488
-17.82023, -12.45631, 69.32207
-17.04695, -12.27579, 69.50017
-17.04695, -12.27579, 69.50017
-15.48565, -12.18546, 69.66747
-14.6047, -12.18546, 69.72315
-13.72354, -12.18546, 69.77557
-12.84219, -12.18546, 69.82473
-11.86272, -12.18546, 69.87552
-11.86272, -12.18546, 69.87552
-9.609184, -12.18546, 69.97706
-8.433074, -12.18546, 70.02157
-7.354793, -12.18546, 70.05727
-6.27636, -12.18546, 70.0881
-5.197799, -12.18546, 70.11405
-5.197799, -12.18546, 70.11405
-3.138452, -12.18546, 70.15005
-1.961567, -12.18546, 70.16263
-0.7846342, -12.18546, 70.1694
0.09807944, -12.18546, 70.17068
0.9807917, -12.18546, 70.16868
0.9807917, -12.18546, 70.16868
2.255794, -12.18546, 70.16003
2.746164, -12.18546, 70.15488
3.236522, -12.18546, 70.14874
3.824934, -12.18546, 70.14002
4.511683, -12.23755, 70.14375
4.511683, -12.23755, 70.14375
5.982613, -12.23755, 70.11138
6.668128, -12.28273, 70.06299
7.452372, -12.28273, 70.03976
8.138519, -12.28273, 70.01732
8.922606, -12.28273, 69.98926
8.922606, -12.28273, 69.98926
10.49048, -12.28273, 69.9254
11.46872, -12.32788, 69.85006
12.35017, -12.32788, 69.80598
13.32766, -12.37303, 69.723
14.30469, -12.41816, 69.63598
14.30469, -12.41816, 69.63598
15.66251, -12.68871, 69.36814
16.24482, -12.77879, 69.26813
16.73015, -12.92092, 69.18917
17.31286, -13.06301, 69.10204
17.89524, -13.20505, 69.01337
17.89524, -13.20505, 69.01337
18.76883, -13.59326, 68.88589
19.14793, -13.86977, 68.71748
19.53028, -14.15334, 68.59412
19.81487, -14.43673, 68.47794
20.19913, -14.67525, 68.38353
20.19913, -14.67525, 68.38353
21.15997, -15.09982, 68.15952
21.63487, -15.27824, 67.99188
22.10914, -15.45645, 67.82301
22.57981, -15.67893, 67.62182
23.14665, -15.90109, 67.40974
23.14665, -15.90109, 67.40974
24.09032, -16.25588, 67.06269
24.56119, -16.43297, 66.88732
25.02806, -16.65404, 66.67928
25.29421, -16.963, 66.42764
25.54764, -17.35107, 66.06438
25.54764, -17.35107, 66.06438
25.86624, -18.03589, 65.41717
